Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Hove Å;Bæk;Hygum;8859;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hove Å;Bæk;Hove;8860;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hove Å;Bæk;Vandborg;8861;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hovedet;Ager/Mark;Mandø;8894;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Hovedgård;By;Ørridslev;8044;Horsens;615;Region Midtjylland;1082;23. maj 2013
Hovedsbanke;By;Barrit;7956;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Hovedskov;By;Stege;7483;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Hovedskov;Skov/Plantage;Sønder Alslev;7584;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Hovedskov;Skov/Plantage;Sønder Kirkeby;7583;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Hovedskov;Spredt bebyggelse;Grædstrup;7991;Horsens;615;Region Midtjylland;1082;23. maj 2013
Hoven;By;Hoven;8786;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hoven;Sogn;NULL;;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hoven;Spredt bebyggelse;Aaby;8379;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Hoven Å;Bæk;Hoven;8786;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hovenbjerg;Bakke;Strandby;8281;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Hoveng;Spredt bebyggelse;Vadum;8378;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hovengen;Spredt bebyggelse;Øland;8394;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Hovens Odde;Odde;Eltang;7930;Kolding;621;Region Syddanmark;1083;23. maj 2013
